image_id,chain_type,step,instruction,drift_score
000000530470.jpg,object_level,1,change the orange truck to a red truck,-4.163336342344337e-17
000000530470.jpg,object_level,2,add a bicycle parked next to the truck,-6.938893903907228e-17
000000530470.jpg,object_level,3,remove the yellow kite from the sky,0.018831698286488143
000000530470.jpg,object_level,4,add a dog running on the grass near the trees,0.0035218821726002345
000000530470.jpg,object_level,cumulative,,0.022353580459088265
000000530470.jpg,global,1,make it a sunny day,0.01104775485783685
000000530470.jpg,global,2,add autumn colors to the trees,-4.7580986769649563e-17
000000530470.jpg,global,3,make it look like sunset,0.0013276208906611378
000000530470.jpg,global,4,add light snow falling,-1.586032892321652e-17
000000530470.jpg,global,cumulative,,0.012375375748497926
000000157807.jpg,object_level,1,change the cat's fur color to orange and white,0.024963789474393074
000000157807.jpg,object_level,2,put a small bow on the cat's head,0.036861190611129746
000000157807.jpg,object_level,3,add a bath towel hanging on the wall,0.008831136046685438
000000157807.jpg,object_level,4,remove the cat's tail,0.030685648145231892
000000157807.jpg,object_level,cumulative,,0.10134176427744016
000000157807.jpg,global,1,make the bathroom tiles blue,0.009468352083650107
000000157807.jpg,global,2,"make the lighting warmer, like evening light",0.0004441731260163921
000000157807.jpg,global,3,turn the photo into a black and white photo,0.004094596985352071
000000157807.jpg,global,4,make it look like an old vintage photograph,0.0001379375643776104
000000157807.jpg,global,cumulative,,0.014145059759396181
000000260106.jpg,object_level,1,change the horse's color to black,-5.2427198385076835e-17
000000260106.jpg,object_level,2,change the rider's helmet to red,0.0007771083703568505
000000260106.jpg,object_level,3,add a number bib on the rider's back,0.0021261216152085993
000000260106.jpg,object_level,4,remove the striped poles in front of the horse,0.0063424980308891665
000000260106.jpg,object_level,cumulative,,0.009245728016454563
000000260106.jpg,global,1,make it a rainy day,0.0007148550977009974
000000260106.jpg,global,2,make it look like early morning with fog,-4.50090415388577e-17
000000260106.jpg,global,3,turn the grass field brown like autumn,0.002439659795807505
000000260106.jpg,global,4,make it look like a painting,-3.39234813079909e-17
000000260106.jpg,global,cumulative,,0.0031545148935084233
000000376278.jpg,object_level,1,add a small bird standing next to the zebra,0.000540767482830761
000000376278.jpg,object_level,2,change the zebra's stripes to a lighter shade,-2.7755575615628914e-17
000000376278.jpg,object_level,3,remove the second zebra visible on the right edge,-2.7755575615628914e-17
000000376278.jpg,object_level,4,add a tree in the background,-2.2970131543968756e-17
000000376278.jpg,object_level,cumulative,,0.0005407674828306825
000000376278.jpg,global,1,make it a rainy overcast day,-3.568574007723718e-17
