image_id,chain_type,step,instruction,drift_score
000000530470.jpg,object_level,1,change the orange truck to a red truck,0.06401139709940801
000000530470.jpg,object_level,2,add a bicycle parked next to the truck,0.0580467141310937
000000530470.jpg,object_level,3,remove the yellow kite from the sky,0.055563360579108455
000000530470.jpg,object_level,4,add a dog running on the grass near the trees,0.062358645722825644
000000530470.jpg,object_level,cumulative,,0.2399801175324358
000000530470.jpg,global,1,make it a sunny day,0.04914945348662211
000000530470.jpg,global,2,add autumn colors to the trees,0.1006211510837019
000000530470.jpg,global,3,make it look like sunset,0.04309302914599244
000000530470.jpg,global,4,add light snow falling,0.052242752125800304
000000530470.jpg,global,cumulative,,0.24510638584211675
000000157807.jpg,object_level,1,change the cat's fur color to orange and white,0.07760676934905228
000000157807.jpg,object_level,2,put a small bow on the cat's head,0.12044019891675324
000000157807.jpg,object_level,3,add a bath towel hanging on the wall,0.15727158033206332
000000157807.jpg,object_level,4,remove the cat's tail,0.01536538617040571
000000157807.jpg,object_level,cumulative,,0.37068393476827455
000000157807.jpg,global,1,make the bathroom tiles blue,0.07374618937866738
000000157807.jpg,global,2,"make the lighting warmer, like evening light",0.10993228561041862
000000157807.jpg,global,3,turn the photo into a black and white photo,0.10711947435586583
000000157807.jpg,global,4,make it look like an old vintage photograph,0.03476589043958062
000000157807.jpg,global,cumulative,,0.32556383978453246
000000260106.jpg,object_level,1,change the horse's color to black,0.04257971715789574
000000260106.jpg,object_level,2,change the rider's helmet to red,0.03261619501986626
000000260106.jpg,object_level,3,add a number bib on the rider's back,0.013869105740269325
000000260106.jpg,object_level,4,remove the striped poles in front of the horse,0.20977561426611485
000000260106.jpg,object_level,cumulative,,0.2988406321841462
000000260106.jpg,global,1,make it a rainy day,0.03689291507098226
000000260106.jpg,global,2,make it look like early morning with fog,0.06269960387081959
000000260106.jpg,global,3,turn the grass field brown like autumn,0.0604280398221898
000000260106.jpg,global,4,make it look like a painting,0.015533099249158598
000000260106.jpg,global,cumulative,,0.17555365801315026
000000376278.jpg,object_level,1,add a small bird standing next to the zebra,0.028737545784676303
000000376278.jpg,object_level,2,change the zebra's stripes to a lighter shade,0.028532015476775526
000000376278.jpg,object_level,3,remove the second zebra visible on the right edge,0.02399998226729984
000000376278.jpg,object_level,4,add a tree in the background,0.022518702256046078
000000376278.jpg,object_level,cumulative,,0.10378824578479774
000000376278.jpg,global,1,make it a rainy overcast day,0.1310471943301305
000000376278.jpg,global,2,add golden sunset lighting,0.08985569018550177
000000376278.jpg,global,3,turn the ground green with grass,0.07370634897001982
000000376278.jpg,global,4,make it look like a winter scene with light snow,0.049966618869174306
000000376278.jpg,global,cumulative,,0.3445758523548264
000000547144.jpg,object_level,1,change the laptop's color to red,0.1079721408093588
000000547144.jpg,object_level,2,add a coffee mug next to the keyboard,0.019234281579704852
000000547144.jpg,object_level,3,remove the mouse next to the right monitor,0.03187351965415964
000000547144.jpg,object_level,4,change the desktop wallpaper on the CRT monitor to a photo of mountains,0.16220767754231927
000000547144.jpg,object_level,cumulative,,0.3212876195855425
000000547144.jpg,global,1,"make the room lighting dimmer, like night time",0.08036169083496388
000000547144.jpg,global,2,"make the whole scene look retro, like an old photograph",0.026820630467368177
000000547144.jpg,global,3,add warm sunset light coming through a window,0.1553333506367951
000000547144.jpg,global,4,make it look like a sketch drawing,0.08223222177400916
000000547144.jpg,global,cumulative,,0.3447478937131363
000000290081.jpg,object_level,1,change the oranges to apples,0.14064282325144462
000000290081.jpg,object_level,2,change the bowl color to red,0.0173457021625981
000000290081.jpg,object_level,3,add a banana on top of the fruit,0.07183903033809955
000000290081.jpg,object_level,4,remove one orange from the bowl,0.2563874866370942
000000290081.jpg,object_level,cumulative,,0.48621504238923646
000000290081.jpg,global,1,make the lighting brighter and more golden,0.052423824692609686
000000290081.jpg,global,2,make it look like it's nighttime outside the window,0.21052572138259334
000000290081.jpg,global,3,turn the photo into a watercolor painting,0.0967871267780434
000000290081.jpg,global,4,"add a warm, cozy autumn atmosphere",0.08999099613000934
000000290081.jpg,global,cumulative,,0.4497276689832558
000000365207.jpg,object_level,1,change the red car to a blue car,0.078363763244294
000000365207.jpg,object_level,2,add a hat on the dog,0.01162008760964579
000000365207.jpg,object_level,3,change the dog's fur color to white,0.0361675025450825
000000365207.jpg,object_level,4,remove the black car in the background,0.009752704525378597
000000365207.jpg,object_level,cumulative,,0.13590405792440088
000000365207.jpg,global,1,make it a rainy day,0.08325171748728165
000000365207.jpg,global,2,make it look like sunset lighting,0.0420562768248008
000000365207.jpg,global,3,turn the scene into winter with snow on the ground,0.056359260616885724
000000365207.jpg,global,4,make the photo look like an old film photograph,0.038169011426272735
000000365207.jpg,global,cumulative,,0.21983626635524092
000000370900.jpg,object_level,1,change the left teddy bear's ribbon to blue,0.04667741398519946
000000370900.jpg,object_level,2,remove the tiara from the middle bear,0.009015771118903962
000000370900.jpg,object_level,3,add a bow tie to the bear on the right,0.04532926761205773
000000370900.jpg,object_level,4,change the bears' fur color to light brown,0.14678060083803104
000000370900.jpg,object_level,cumulative,,0.2478030535541922
000000370900.jpg,global,1,make the lighting purple and dreamy,0.09875777965003919
000000370900.jpg,global,2,add sparkles in the background,0.12275778365886623
000000370900.jpg,global,3,make it look like a vintage photograph,
000000370900.jpg,global,4,turn the background into a starry night sky,0.10034422788310604
000000370900.jpg,global,cumulative,,0.32185979119201147
000000015440.jpg,object_level,1,change the stop sign to a yield sign,0.06798652680115701
000000015440.jpg,object_level,2,add a bicycle leaning against the pole,0.05386487435992075
000000015440.jpg,object_level,3,remove the fence behind the stop sign,0.0760977494377724
000000015440.jpg,object_level,4,change the bus color to yellow,0.091233377997745
000000015440.jpg,object_level,cumulative,,0.28918252859659516
000000015440.jpg,global,1,make it look like nighttime,0.10464719984446164
000000015440.jpg,global,2,add rain falling on the street,0.09898432948928698
000000015440.jpg,global,3,make it a snowy winter scene,0.04070817201495211
000000015440.jpg,global,4,make the lighting look like early morning,0.028486079639435485
000000015440.jpg,global,cumulative,,0.2728257809881362
000000376365.jpg,object_level,1,change the vase color to red,0.05832313500076295
000000376365.jpg,object_level,2,add more leaves to the plant,0.1357353692203341
000000376365.jpg,object_level,3,change the candle color to blue,0.06362643542798531
000000376365.jpg,object_level,4,remove the candle glass next to the vase,0.06463465330807631
000000376365.jpg,object_level,cumulative,,0.3223195929571587
000000376365.jpg,global,1,"make the room lighting darker, like evening",0.15641030367383685
000000376365.jpg,global,2,add warm sunset light through the window,0.08797971808749895
000000376365.jpg,global,3,turn the photo into a black and white photo,0.083076167740259
000000376365.jpg,global,4,make it look like a painting,0.04913625303398883
000000376365.jpg,global,cumulative,,0.3766024425355836
000000362716.jpg,object_level,1,change the player's shirt color to blue,0.06832237946125529
000000362716.jpg,object_level,2,change the tennis racket's string color to red,0.0950635760246496
000000362716.jpg,object_level,3,remove the white cap,0.1942254695070098
000000362716.jpg,object_level,4,add a wristband on his other wrist,
000000362716.jpg,object_level,cumulative,,0.3576114249929147
000000362716.jpg,global,1,make it look like nighttime under stadium lights,0.06849536153376905
000000362716.jpg,global,2,make it a rainy match,0.0128726509842594
000000362716.jpg,global,3,turn the photo into a black and white photo,0.07450427687087319
000000362716.jpg,global,4,add golden sunset lighting,0.06084280290068547
000000362716.jpg,global,cumulative,,0.2167150922895871
000000414170.jpg,object_level,1,change the front skier's jacket to red,0.0671109709344816
000000414170.jpg,object_level,2,remove the second skier from the trail,0.06458216323149667
000000414170.jpg,object_level,3,add a dog running beside the front skier,0.021165523821416826
000000414170.jpg,object_level,4,change the trees to autumn colors,0.023177692111684856
000000414170.jpg,object_level,cumulative,,0.17603635009907995
000000414170.jpg,global,1,make it a heavy snowstorm,0.07650417480673838
000000414170.jpg,global,2,make it look like sunset lighting through the trees,0.08543566382360426
000000414170.jpg,global,3,turn the photo into a black and white photo,0.07071553347808052
000000414170.jpg,global,4,make it look like early morning fog,0.04231534338190383
000000414170.jpg,global,cumulative,,0.274970715490327
000000521719.jpg,object_level,1,change the ladybug kite to a butterfly kite,0.13942134624397856
000000521719.jpg,object_level,2,remove the striped kite on the left,0.080190636291457
000000521719.jpg,object_level,3,add a price tag to the frog kite,0.02329894784206095
000000521719.jpg,object_level,4,change the wooden post color to green,0.030970206885444954
000000521719.jpg,object_level,cumulative,,0.27388113726294144
000000521719.jpg,global,1,make it a rainy overcast day,0.06142425503162382
000000521719.jpg,global,2,make it nighttime with string lights,0.14909073232175366
000000521719.jpg,global,3,turn the photo into a watercolor painting,0.05819541020988385
000000521719.jpg,global,4,add golden sunset lighting,0.07676130447873178
000000521719.jpg,global,cumulative,,0.34547170204199307
000000428218.jpg,object_level,1,change the frisbee color to orange,0.07254316004731481
000000428218.jpg,object_level,2,change the man's shirt to red,0.023008093512097226
000000428218.jpg,object_level,3,remove the fence in the background,0.034786889438450284
000000428218.jpg,object_level,4,add a dog jumping to catch the frisbee,0.019837865376791795
000000428218.jpg,object_level,cumulative,,0.15017600837465414
000000428218.jpg,global,1,make it a rainy day,0.0476550925811752
000000428218.jpg,global,2,make it look like autumn with fallen leaves,0.12216143172632907
000000428218.jpg,global,3,make it look like early morning fog,0.15466893082339675
000000428218.jpg,global,4,turn the photo into a black and white photo,0.06313805655405441
000000428218.jpg,global,cumulative,,0.3876235116849554
000000094336.jpg,object_level,1,change the cat's fur to solid black,0.053281117270107335
000000094336.jpg,object_level,2,add water dripping from the faucet,0.13697398904821892
000000094336.jpg,object_level,3,add a small towel next to the sink,0.10686513552079671
000000094336.jpg,object_level,4,remove the cat's whiskers,0.12483060059620939
000000094336.jpg,object_level,cumulative,,0.4219508424353324
000000094336.jpg,global,1,"make the lighting cooler, like daylight",0.08477881531088012
000000094336.jpg,global,2,turn the photo into a black and white photo,0.04933467740183337
000000094336.jpg,global,3,make it look like an old vintage photograph,0.06131026613402038
000000094336.jpg,global,4,make the bathroom look brighter and more modern,0.049465477763397575
000000094336.jpg,global,cumulative,,0.24488923661013146
000000384670.jpg,object_level,1,change the yellow shirt to blue,0.05863108414244303
000000384670.jpg,object_level,2,change the tennis racket's grip color to red,0.11425015361726158
000000384670.jpg,object_level,3,remove the second player bending down,0.17841539132184694
000000384670.jpg,object_level,4,add a tennis ball on the ground,0.10723936450822436
000000384670.jpg,object_level,cumulative,,0.4585359935897759
000000384670.jpg,global,1,make it look like a night match under stadium lights,0.1258145608421462
000000384670.jpg,global,2,make it a rainy match,0.014619583384870793
000000384670.jpg,global,3,turn the photo into a black and white photo,0.10709149464643045
000000384670.jpg,global,4,add golden sunset lighting,0.07612087870407012
000000384670.jpg,global,cumulative,,0.32364651757751756
000000021903.jpg,object_level,1,change the man's shirt to blue,0.07271427829039397
000000021903.jpg,object_level,2,change the elephant's skin tone to a lighter gray,0.03050894370166529
000000021903.jpg,object_level,3,remove the second person on the right,0.028283634019059815
000000021903.jpg,object_level,4,add a hat on the man,0.00836537676320269
000000021903.jpg,object_level,cumulative,,0.13987223277432176
000000021903.jpg,global,1,make it a rainy day,0.0476516550391564
000000021903.jpg,global,2,make it look like early morning mist,0.15899399836186753
000000021903.jpg,global,3,turn the photo into a black and white photo,0.047353790498433496
000000021903.jpg,global,4,add golden sunset lighting through the trees,0.08042688370194642
000000021903.jpg,global,cumulative,,0.3344263276014038
000000507575.jpg,object_level,1,change the laptop's wallpaper to a mountain photo,0.1807976580280632
000000507575.jpg,object_level,2,remove the printer from the desk,0.016470940985500473
000000507575.jpg,object_level,3,add a coffee mug next to the keyboard,0.02998307750828513
000000507575.jpg,object_level,4,change the monitor's wallpaper to a purple nebula,0.1895770469474288
000000507575.jpg,object_level,cumulative,,0.4168287234692776
000000507575.jpg,global,1,"make the room lighting dimmer, like night time",0.08018803827106735
000000507575.jpg,global,2,"make the whole scene look retro, like an old photograph",0.030335243312430038
000000507575.jpg,global,3,add warm sunset light coming through a window,0.1534572534732941
000000507575.jpg,global,4,make it look like a sketch drawing,0.14070131608439929
000000507575.jpg,global,cumulative,,0.40468185114119076
000000320642.jpg,object_level,1,change the woman in black's dress to red,0.07775222028708415
000000320642.jpg,object_level,2,remove the necklace she's wearing,0.2214469843921208
000000320642.jpg,object_level,3,add sunglasses on the woman in gray,
000000320642.jpg,object_level,4,change the neon sign's color to blue,0.06893174703033411
000000320642.jpg,object_level,cumulative,,0.368130951709539
000000320642.jpg,global,1,make it look like a party with colorful lights,0.09831898999918226
000000320642.jpg,global,2,make it nighttime outside the window,0.1447085929378831
000000320642.jpg,global,3,turn the photo into a black and white photo,0.060734936482560675
000000320642.jpg,global,4,"add a warm, festive atmosphere",0.0276681204233466
000000320642.jpg,global,cumulative,,0.33143063984297266
000000034760.jpg,object_level,1,change the shower curtain to red and white stripes,0.1865292394219596
000000034760.jpg,object_level,2,remove the cleaning spray cans from the counter,0.1082651866009898
000000034760.jpg,object_level,3,add a bath mat in front of the tub,0.06555129057353748
000000034760.jpg,object_level,4,change the toilet lid color to black,0.06408018365024208
000000034760.jpg,object_level,cumulative,,0.42442590024672894
000000034760.jpg,global,1,"make the lighting warmer, like evening light",0.06941033322716632
000000034760.jpg,global,2,make the bathroom tiles blue,0.08608315491618222
000000034760.jpg,global,3,turn the photo into a black and white photo,0.0933679820300048
000000034760.jpg,global,4,make it look like an old vintage photograph,0.044941384773002274
