image_id,chain_type,step,instruction,drift_score
000000530470.jpg,object_level,1,change the orange truck to a red truck,0.0030173206506843575
000000530470.jpg,object_level,2,add a bicycle parked next to the truck,0.014611905924278953
000000530470.jpg,object_level,3,remove the yellow kite from the sky,0.022323198878558118
000000530470.jpg,object_level,4,add a dog running on the grass near the trees,0.04143266265016018
000000530470.jpg,object_level,cumulative,,0.08138508810368161
000000530470.jpg,global,1,make it a sunny day,0.02907750361504996
000000530470.jpg,global,2,add autumn colors to the trees,0.009653508108336808
000000530470.jpg,global,3,make it look like sunset,0.03949840406796173
000000530470.jpg,global,4,add light snow falling,0.0
000000530470.jpg,global,cumulative,,0.0782294157913485
000000157807.jpg,object_level,1,change the cat's fur color to orange and white,0.03658263351968604
000000157807.jpg,object_level,2,put a small bow on the cat's head,0.06348154349579642
000000157807.jpg,object_level,3,add a bath towel hanging on the wall,0.07929578309643069
000000157807.jpg,object_level,4,remove the cat's tail,0.12075664935214506
000000157807.jpg,object_level,cumulative,,0.30011660946405816
000000157807.jpg,global,1,make the bathroom tiles blue,0.014949762110666981
000000157807.jpg,global,2,"make the lighting warmer, like evening light",0.008473692545509297
000000157807.jpg,global,3,turn the photo into a black and white photo,0.11254250089621248
000000157807.jpg,global,4,make it look like an old vintage photograph,0.039404911089951714
000000157807.jpg,global,cumulative,,0.17537086664234047
000000260106.jpg,object_level,1,change the horse's color to black,0.002145191418931075
000000260106.jpg,object_level,2,change the rider's helmet to red,0.009489037498706986
000000260106.jpg,object_level,3,add a number bib on the rider's back,0.014684329706003125
000000260106.jpg,object_level,4,remove the striped poles in front of the horse,0.010838979661862265
000000260106.jpg,object_level,cumulative,,0.03715753828550345
000000260106.jpg,global,1,make it a rainy day,0.011329132966245416
000000260106.jpg,global,2,make it look like early morning with fog,0.002253913696168802
000000260106.jpg,global,3,turn the grass field brown like autumn,0.035724594105476855
000000260106.jpg,global,4,make it look like a painting,0.0
000000260106.jpg,global,cumulative,,0.04930764076789107
000000376278.jpg,object_level,1,add a small bird standing next to the zebra,0.004375090722161491
000000376278.jpg,object_level,2,change the zebra's stripes to a lighter shade,0.006773161858042822
000000376278.jpg,object_level,3,remove the second zebra visible on the right edge,0.003220217291544735
